0.500000	0.550000	0.600000	0.650000	0.700000	
0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 
0.001969	 0.003462	 0.006155	 0.003922	 0.003922	 
0.000455	 0.013688	 0.021342	 0.020600	 0.046384	 
0.005333	 0.016042	 0.063882	 0.080742	 0.175055	 
0.007660	 0.054438	 0.109278	 0.215623	 0.518710	 
0.004469	 0.035636	 0.222079	 0.394489	 0.996212	 
0.020660	 0.106563	 0.249200	 0.648194	 1.671439	 
0.000968	 0.043203	 0.346649	 0.740206	 2.001344	 
0.021739	 0.098363	 0.249476	 0.738934	 1.983170	 
0.002077	 0.020144	 0.182300	 0.422566	 1.176590	 
0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 
